SensorID,TestSequence,Voltage,TubeCurrent,rho_dark_all,rho_Xray_all,rho_net_all,mu_tau_h_all,Int_E_dark,Int_E_Xray,Missing_voltage
D325145,6,700,7,-51616712216.78264,47541658975.61882,99158371192.40144,9.397233105646375e-05,766.9163309210658,586.9719479993655,179.94438292170025
D325145,6,700,25,-51616712216.78264,55643305090.715004,107260017307.49762,8.689604292863019e-05,766.9163309210658,564.7150839361293,202.20124698493646
D325145,7,500,0,-59618872558.29181,,,,445.4488148294467,,
D325145,7,500,7,-59618872558.29181,58627860251.41082,118246732809.70262,0.0001030386120441616,445.4488148294467,314.78519338770514,130.66362144174155
D325145,7,500,25,-59618872558.29181,65240423465.58878,124859296023.88058,9.594006315159336e-05,445.4488148294467,304.6773959936735,140.7714188357732
D325145,7,700,0,-51884026942.6947,,,,774.0181729457342,,
D325145,7,700,7,-51884026942.6947,45993004193.04072,97877031135.73544,0.00010069316688518045,774.0181729457342,588.1334618285382,185.88471111719605
D325145,7,700,25,-51884026942.6947,52173987241.816986,104058014184.51169,9.571940712948442e-05,774.0181729457342,554.4392095438271,219.57896340190712
D325145,8,500,0,-60877754929.8231,,,,421.635186828489,,
D325145,8,500,7,-60877754929.8231,54343809859.4118,115221564789.23488,0.0001111731727281592,421.635186828489,274.01614563879366,147.61904118969534
D325145,8,500,25,-60877754929.8231,68095994518.29835,128973749448.12146,0.00010023052380779004,421.635186828489,287.8528801707656,133.78230665772338
D325145,8,700,0,-68097447953.78333,,,,782.3270959061424,,
D325145,8,700,7,-68097447953.78333,46362515294.442696,114459963248.22603,8.749837752274364e-05,782.3270959061424,584.6444296653602,197.68266624078217
D325145,8,700,25,-68097447953.78333,55772997609.8988,123870445563.68211,8.128305161640996e-05,782.3270959061424,566.8982912659897,215.42880464015275
D325145,9,500,0,-56329989152.24033,,,,427.4828589563376,,
D325145,9,500,7,-56329989152.24033,49815466224.67046,106145455376.91078,0.00012078138351067798,427.4828589563376,258.36480358213413,169.1180553742035
D325145,9,500,25,-56329989152.24033,57909787608.06464,114239776760.30496,0.00011297959146727977,427.4828589563376,275.31784662674426,152.16501232959337
D325145,9,700,0,-45072585862.95123,,,,758.6097705776181,,
D325145,9,700,7,-45072585862.95123,38674009577.62809,83746595440.5793,0.00012050359403717974,758.6097705776181,582.5804460307501,176.029324546868
